filename,Batch,MeOH_Elution,Optical_Density ,Vial_weight_no_cap_mg,Vial_no_cap_with_sample_mg,Biomass_mg,Maifold_extracted,Sample_group,Acquisition_order
4138_1_80.mzML Peak area,G,80,1.38,2047.3,2049.9,2.6,1,mllJ,8
4138_2_80.mzML Peak area,G,80,1.22,2050.5,2053.3,2.8,1,mllJ,9
4138_3_80.mzML Peak area,G,80,1.24,2036.4,2038.9,2.5,1,mllJ,10
4138_4_80.mzML Peak area,G,80,1.34,2047.3,2050.4,3.1,1,mllJ,11
4136_1_80.mzML Peak area,G,80,1.31,2025.2,2028.2,3,1,mllG,15
4136_2_80.mzML Peak area,G,80,1.37,2046.1,2048.8,2.7,1,mllG,16
4136_3_80.mzML Peak area,G,80,1.29,2047,2049.6,2.6,1,mllG,17
4136_4_80.mzML Peak area,G,80,1.36,2027.2,2029.9,2.7,1,mllG,18
4135_1_80.mzML Peak area,G,80,1.4,2024.9,2028,3.1,1,mllF,22
4135_2_80.mzML Peak area,G,80,1.3,2021.1,2023.4,2.3,1,mllF,23
4135_3_80.mzML Peak area,G,80,1.46,2042.4,2045.2,2.8,1,mllF,24
4135_4_80.mzML Peak area,G,80,1.32,2036.6,2039,2.4,1,mllF,25
5050_1_80.mzML Peak area,G,80,1.32,2048.1,2050.7,2.6,2,5050,34
5050_2_80.mzML Peak area,G,80,1.22,2035.6,2038.5,2.9,2,5050,35
5050_3_80.mzML Peak area,G,80,1.38,2046.7,2049.6,2.9,2,5050,36
5050_4_80.mzML Peak area,G,80,1.17,2020.7,2023.2,2.5,2,5050,37
5051_1_80.mzML Peak area,G,80,0.9,2036.8,2038.5,1.7,2,5051,28
5051_2_80.mzML Peak area,G,80,1.26,2043.6,2046.5,2.9,2,5051,29
5051_3_80.mzML Peak area,G,80,1.41,2040.3,2043,2.7,2,5051,30
5051_4_80.mzML Peak area,G,80,1.36,2033.7,2036.4,2.7,2,5051,31
mxaF_1_80.mzML Peak area,G,80,1.22,2037.2,2039.8,2.6,2,mxaF,39
mxaF_2_80.mzML Peak area,G,80,1.18,2055.4,2058.4,3,2,mxaF,40
mxaF_3_80.mzML Peak area,G,80,1.17,2030.6,2033.1,2.5,2,mxaF,41
mxaF_4_80.mzML Peak area,G,80,1.15,2043,2045.6,2.6,2,mxaF,42
Ext_blank_1_1_80.mzML Peak area,G,80,0,2045.4,2045.5,0.1,1,Ext_Blank,3
Ext_blank_2_1_80.mzML Peak area,G,80,0,2040.1,2039.9,-0.2,1,Ext_Blank,4
Ext_blank_1_2_80.mzML Peak area,G,80,0,2045.3,2045.2,-0.1,2,Ext_Blank,5
Ext_blank_2_2_80.mzML Peak area,G,80,0,2040,2039.9,-0.1,2,Ext_Blank,6
80MeOH_blk1.mzML Peak area,G,80,0,0,0,0,0,Method_blank,1
80MeOH_blk_6.mzML Peak area,G,80,0,0,0,0,0,Method_blank,19
80_MeOH_blk3.mzML Peak area,G,80,0,0,0,0,0,Method_blank,7
80_MeOH_blk5.mzML Peak area,G,80,0,0,0,0,0,Method_blank,14
80_MeOH_blk_10.mzML Peak area,G,80,0,0,0,0,0,Method_blank,32
80_MeOH_blk_10_20251016022945.mzML Peak area,G,80,0,0,0,0,0,Method_blank,33
80_MeOH_blk_11.mzML Peak area,G,80,0,0,0,0,0,Method_blank,38
80_MeOH_blk_12.mzML Peak area,G,80,0,0,0,0,0,Method_blank,43
80_MeOH_blk_4.mzML Peak area,G,80,0,0,0,0,0,Method_blank,12
80_MeOH_blk_7.mzML Peak area,G,80,0,0,0,0,0,Method_blank,21
80_MeOH_blk_8.mzML Peak area,G,80,0,0,0,0,0,Method_blank,26
80_MeOH_blk_9.mzML Peak area,G,80,0,0,0,0,0,Method_blank,27
80_MeOHblk_2.mzML Peak area,G,80,,0,0,0,0,Method_blank,2
5N_point1mg.mzML Peak area,IPTG,80,1.28,0,0,2.4,0,PA1_-IPTG,83
1N_point1mg.mzML Peak area,IPTG,80,0.92,0,0,1.6,0,PA1_-IPTG,80
3N_point1mg.mzML Peak area,IPTG,80,1.26,0,0,2.8,0,PA1_-IPTG,81
4N_point1mg.mzML Peak area,IPTG,80,1.22,0,0,2.8,0,PA1_-IPTG,82
8Y_point1mg.mzML Peak area,IPTG,80,0.83,0,0,3.2,0,PA1_+IPTG,85
9Y_point1mg.mzML Peak area,IPTG,80,0.23,0,0,1.4,0,PA1_+IPTG,89
6Y_point1mg.mzML Peak area,IPTG,80,0.24,0,0,1.3,0,PA1_+IPTG,87
7Y_point1mg.mzML Peak area,IPTG,80,0.24,0,0,1.2,0,PA1_+IPTG,88
10Y_point1mg.mzML Peak area,IPTG,80,0.27,0,0,1.6,0,PA1_+IPTG,90
80_MeOH_blk24.mzML Peak area,G,80,0,0,0,0,0,Method_blank,91
80_MeOH_blk_13.mzML Peak area,G,80,0,0,0,0,0,Method_blank,44
80_MeOH_blk_20.mzML Peak area,G,80,0,0,0,0,0,Method_blank,77
80_MeOH_blk_21.mzML Peak area,G,80,0,0,0,0,0,Method_blank,79
80_MeOH_blk_22.mzML Peak area,G,80,0,0,0,0,0,Method_blank,84
80_MeOH_blk_23.mzML Peak area,G,80,0,0,0,0,0,Method_blank,86
