ID1,ID2,EdgeType,Score,Annotation
15,199,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98122
26,105,MS1 annotation,2,[M+NH4]+ [M+K]+ dm/z=20.93014
27,263,MS1 annotation,2,[2M+H]+ [M+NH4]+ dm/z=158.8674
52,124,MS1 annotation,2,[M+K]+ [M+NH4]+ dm/z=20.92866
57,76,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97388
57,79,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95577
67,139,MS1 annotation,2,[M+NH4]+ [M+K]+ dm/z=20.92915
76,79,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98188
101,241,MS1 annotation,2,[2M+Na]+ [M+K]+ dm/z=115.97762
111,262,MS1 annotation,3,[2M+H]+ [M-H+2Na]+ dm/z=130.93304
111,133,MS1 annotation,3,[2M+H-H2O]+ [M-H+2Na]+ dm/z=112.9224
128,136,MS1 annotation,2,[M-H+2Na]+ [M+NH4]+ dm/z=26.93851
133,262,MS1 annotation,3,[2M+H]+ [2M+H-H2O]+ dm/z=18.01064
142,201,MS1 annotation,2,[M-H+2Na]+ [2M+NH4]+ dm/z=145.95269
143,200,MS1 annotation,2,[M+Na]+ [2M+H-H2O]+ dm/z=153.89115
152,256,MS1 annotation,2,[M-H+2Na]+ [2M+H]+ dm/z=246.86316
186,244,MS1 annotation,2,[2M+H]+ [M-H+2Na]+ dm/z=100.93209
198,279,MS1 annotation,2,[2M-H+2Na]+ [M+H]+ dm/z=252.84337
214,231,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01031
214,350,MS1 annotation,3,[M+NH4]+ [M+H-H2O]+ dm/z=35.0371
214,230,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02718
217,234,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02739
218,268,MS1 annotation,2,[2M+H]+ [M-H+2Na]+ dm/z=158.92933
220,269,MS1 annotation,2,[2M+H]+ [M-H+2Na]+ dm/z=159.92465
224,279,MS1 annotation,2,[2M+H-H2O]+ [M+NH4]+ dm/z=204.82772
231,350,MS1 annotation,3,[M+NH4]+ [M+H]+ dm/z=17.02679
237,240,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02519
264,302,MS1 annotation,2,[2M+K]+ [M+Na]+ dm/z=352.78138
307,331,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97223
361,516,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97396
361,460,MS1 annotation,2,[M+K]+ [2M+Na]+ dm/z=135.9747
384,458,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97366
396,436,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97215
418,558,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97395
420,588,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97385
420,528,MS1 annotation,3,[2M+K]+ [M+K]+ dm/z=323.96321
424,515,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97527
425,441,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97286
425,481,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97514
425,450,MS1 annotation,2,[M+K]+ [2M+Na]+ dm/z=203.96114
429,504,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97403
430,517,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97377
439,553,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97535
440,550,MS1 annotation,3,[2M+K]+ [M+K]+ dm/z=527.92553
440,500,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.9737
448,586,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97333
450,527,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97397
450,537,MS1 annotation,3,[2M+Na]+ [M+Na]+ dm/z=235.91005
457,501,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97404
460,461,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97414
467,528,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97387
481,537,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97377
483,506,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97375
487,488,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98323
500,550,MS1 annotation,3,[2M+K]+ [M+Na]+ dm/z=543.89923
501,524,MS1 annotation,2,[2M-H+2Na]+ [M+H]+ dm/z=661.85328
