row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,10Y_point1mg.mzML Peak area,1N_point1mg.mzML Peak area,3N_point1mg.mzML Peak area,4135_1_80.mzML Peak area,4135_2_80.mzML Peak area,4135_3_80.mzML Peak area,4135_4_80.mzML Peak area,4136_1_80.mzML Peak area,4136_2_80.mzML Peak area,4136_3_80.mzML Peak area,4136_4_80.mzML Peak area,4138_1_80.mzML Peak area,4138_2_80.mzML Peak area,4138_3_80.mzML Peak area,4138_4_80.mzML Peak area,4N_point1mg.mzML Peak area,5050_1_80.mzML Peak area,5050_2_80.mzML Peak area,5050_3_80.mzML Peak area,5050_4_80.mzML Peak area,5051_1_80.mzML Peak area,5051_2_80.mzML Peak area,5051_3_80.mzML Peak area,5051_4_80.mzML Peak area,5N_point1mg.mzML Peak area,6Y_point1mg.mzML Peak area,7Y_point1mg.mzML Peak area,80MeOH_blk1.mzML Peak area,80MeOH_blk_6.mzML Peak area,80_MeOH_blk24.mzML Peak area,80_MeOH_blk3.mzML Peak area,80_MeOH_blk5.mzML Peak area,80_MeOH_blk_10.mzML Peak area,80_MeOH_blk_10_20251016022945.mzML Peak area,80_MeOH_blk_11.mzML Peak area,80_MeOH_blk_12.mzML Peak area,80_MeOH_blk_13.mzML Peak area,80_MeOH_blk_20.mzML Peak area,80_MeOH_blk_21.mzML Peak area,80_MeOH_blk_22.mzML Peak area,80_MeOH_blk_23.mzML Peak area,80_MeOH_blk_4.mzML Peak area,80_MeOH_blk_7.mzML Peak area,80_MeOH_blk_8.mzML Peak area,80_MeOH_blk_9.mzML Peak area,80_MeOHblk_2.mzML Peak area,8Y_point1mg.mzML Peak area,9Y_point1mg.mzML Peak area,Ext_blank_1_1_80.mzML Peak area,Ext_blank_1_2_80.mzML Peak area,Ext_blank_2_1_80.mzML Peak area,Ext_blank_2_2_80.mzML Peak area,mxaF_1_80.mzML Peak area,mxaF_2_80.mzML Peak area,mxaF_3_80.mzML Peak area,mxaF_4_80.mzML Peak area,
131,324.8023747614619,0.3317617,,,,24,,,,,,,0,0,0,0,0,0,55.30215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.072117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38539.61,0,0,0,0,61.602314,0,0,178.6234,0,0,0,0,0,0,0,0,0,0,
146,463.7379169422876,0.3358754,,,,24,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.127222,0,0,0,0,0,59.23192,0,0,0,0,0,63.29316,0,0,0,0,0,0,0,0,48005.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,191.97157396030417,0.34346563,,,,24,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27356.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697.1294,0,0,0,0,0,0,0,0,0,0,
27,193.93005643781694,0.34486097,,,,24,0,[M+NH4]+,,2,263;27,175.89566,2588.0176,1254.5018,2403.5876,2019.5521,1934.5453,1488.4462,2218.8027,1902.5531,863.0161,2132.3013,1678.0355,3631.3982,2286.2131,1585.6077,4488.8906,2586.936,1522.2313,3507.1086,3728.2156,2890.6963,3162.051,3573.3145,2730.4663,2484.5527,1933.0178,1087.6165,3017.5244,16105.196,1426.0435,2849.2913,1405.3102,1437.5134,3902.9634,1556.1609,2841.036,1504.4083,3432.7207,253500.55,2307.7708,2402.3694,2370.1484,1773.094,4379.0864,2122.003,1280.2446,9066.442,3802.8083,1505.9099,6202.781,4661.256,4417.4053,1933.5162,740.7767,1811.0841,4766.8633,2252.9976,
23,276.8966624487429,0.34684148,,,,0,,,,,,,11785.108,11098.381,9414.25,21081.71,15081.163,14067.702,27530.03,25420.07,15404.416,14057.895,16369.282,24181.2,26180.29,25890.75,30150.748,11658.473,11298.099,22871.717,21585.521,11575.072,21022.188,24275.701,21061.445,19738.459,11274.69,11405.757,11378.377,4285.1743,16137.694,8783.6875,18133.832,16884.453,24637.195,26190.268,21919.57,22315.486,22370.07,125501.02,13931.757,14049.983,10819.05,29187.252,28818.715,13610.29,19702.094,41005.285,14569.078,12642.097,31819.566,30607.322,18092.203,18919.871,14321.758,18681.373,21029.777,12015.539,
22,253.88062071001494,0.34779882,,,,,,,,,,,2482.0132,2484.566,1968.8002,3838.7458,3532.1755,4817.4062,6447.662,5889.73,4673.177,2324.8765,4908.2734,5800.1675,7305.971,5889.8354,7427.0435,2455.3706,2339.7207,5625.2915,4645.3423,4702.977,5126.542,6305.0303,3392.565,3127.5032,2823.473,2416.2366,2569.4187,0,5435.2803,2741.1108,4237.364,5637.8257,1889.222,6609.438,2213.0847,4756.7715,2271.4375,25078.152,2548.675,927.9594,2354.7126,7475.8027,7251.882,3786.104,4663.0425,9325.031,2511.1538,2450.872,6548.4062,7553.361,5368.671,4953.3735,4475.76,4144.391,4203.917,3325.1462,
19,381.80017511907766,0.3482913,,,,0,,,,,,,1333.4933,910.13885,909.87805,1722.0709,1058.7711,1833.2091,4116.7144,3876.2292,1703.7908,1934.7915,2029.841,1909.9233,2347.033,1964.4626,4309.874,571.61395,2083.2087,3254.4243,1477.9532,1414.4617,3378.5896,3715.4116,2541.658,2034.7454,790.8509,743.7639,808.1753,1131.2506,1900.3694,1031.0701,1960.435,1709.6676,3469.6646,2124.3647,1757.0111,3214.3457,2843.518,20390.596,1320.9993,1291.3217,1342.2676,2172.3352,4845.648,1130.1328,1382.5907,6281.7764,614.57764,1438.9366,3705.505,4314.196,3070.0747,1069.9524,1715.5525,3070.4407,2561.8037,1606.4266,
42,214.98787664664508,0.35065398,,,,24,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75338.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904.7815,0,0,275.23444,29.25689,211.81647,59.571663,0,0,0,0,
26,203.90417338811264,0.3534232,,,,24,3,[M+K]+,,2,26;105,164.94061,79.60312,58.571583,0,391.45605,512.67377,85.67211,876.92883,189.67418,477.85645,48.1832,224.59276,242.70761,1061.7572,398.59848,1760.891,151.00623,140.93921,1365.2495,1654.3486,522.08673,301.51718,1292.663,144.71938,1348.3208,274.40533,297.73294,188.69122,4844.13,329.5665,74.86577,520.7716,278.98795,1109.5756,769.07776,244.08989,236.59973,539.4057,31912.941,212.66809,405.37363,351.5082,1529.7078,1353.9626,250.34723,267.90448,3216.0662,469.54822,58.067043,2180.1118,1723.689,292.79346,523.14764,281.2337,884.3384,1291.091,185.21964,
2,190.8725350445175,0.3603771,,,,24,,,,,,,562.9225,740.9258,575.732,664.7578,138.0509,836.9435,1223.5475,724.2864,357.13928,734.4871,776.80664,582.7646,353.96692,741.2817,1293.7345,842.781,544.41516,499.69104,627.5003,460.54617,616.32544,693.3783,301.94525,476.67023,393.70337,562.1336,553.6527,873.8657,576.8316,634.99536,459.87115,610.5833,603.79974,1173.248,551.5281,782.70233,670.7628,216542.38,537.9357,840.63086,840.9905,486.84485,1233.1697,337.34555,766.7782,3371.7285,272.78943,384.29517,879.9314,859.20874,713.8492,483.92398,200.43796,318.18008,341.0988,544.0382,
