"filename","mzmine_sample_type","run_date"
"80_MeOH_blk_4.mzML","blank","2025-10-16T02:13:45"
"80_MeOH_blk_7.mzML","blank","2025-10-16T04:48"
"8Y_point1mg.mzML","sample","2025-10-16T23:40:31"
"3N_point1mg.mzML","sample","2025-10-16T22:31:57"
"1N_point1mg.mzML","sample","2025-10-16T22:14:44"
"4N_point1mg.mzML","sample","2025-10-16T22:49:05"
"80_MeOH_blk_10.mzML","blank","2025-10-16T07:56:35"
"9Y_point1mg.mzML","sample","2025-10-17T00:49:06"
"5N_point1mg.mzML","sample","2025-10-16T23:06:13"
"6Y_point1mg.mzML","sample","2025-10-17T00:14:48"
"80_MeOH_blk_8.mzML","blank","2025-10-16T06:13:43"
"80_MeOH_blk_9.mzML","blank","2025-10-16T06:30:51"
"10Y_point1mg.mzML","sample","2025-10-17T01:06:14"
"7Y_point1mg.mzML","sample","2025-10-17T00:31:57"
"80_MeOH_blk_11.mzML","blank","2025-10-16T09:56:35"
"80_MeOH_blk_20.mzML","blank","2025-10-16T21:23:17"
"80_MeOH_blk_12.mzML","blank","2025-10-16T11:22:16"
"80_MeOH_blk3.mzML","blank","2025-10-16T00:48:02"
"80_MeOH_blk_10_20251016022945.mzML","blank","2025-10-16T08:30:51"
"80_MeOH_blk_13.mzML","blank","2025-10-16T11:56:31"
"80_MeOH_blk_22.mzML","blank","2025-10-16T23:23:21"
"80_MeOH_blk_21.mzML","blank","2025-10-16T21:57:32"
"80_MeOH_blk5.mzML","blank","2025-10-16T02:48"
"80_MeOH_blk_23.mzML","blank","2025-10-16T23:57:40"
"80_MeOHblk_2.mzML","blank","2025-10-15T23:22:20"
"80MeOH_blk1.mzML","blank","2025-10-15T22:48:06"
"80MeOH_blk_6.mzML","blank","2025-10-16T04:13:43"
"80_MeOH_blk24.mzML","blank","2025-10-17T01:23:22"
"4136_2_80.mzML","sample","2025-10-16T03:22:18"
"4135_3_80.mzML","sample","2025-10-16T05:39:29"
"4135_2_80.mzML","sample","2025-10-16T05:22:18"
"4136_1_80.mzML","sample","2025-10-16T03:05:10"
"4138_4_80.mzML","sample","2025-10-16T01:56:37"
"4136_4_80.mzML","sample","2025-10-16T03:56:35"
"4135_4_80.mzML","sample","2025-10-16T05:56:35"
"4138_3_80.mzML","sample","2025-10-16T01:39:29"
"4138_1_80.mzML","sample","2025-10-16T01:05:12"
"4138_2_80.mzML","sample","2025-10-16T01:22:21"
"5050_2_80.mzML","sample","2025-10-16T09:05:08"
"4135_1_80.mzML","sample","2025-10-16T05:05:08"
"4136_3_80.mzML","sample","2025-10-16T03:39:27"
"5050_1_80.mzML","sample","2025-10-16T08:48"
"5050_4_80.mzML","sample","2025-10-16T09:39:24"
"5051_1_80.mzML","sample","2025-10-16T06:48"
"5051_2_80.mzML","sample","2025-10-16T07:05:10"
"5051_3_80.mzML","sample","2025-10-16T07:22:18"
"5050_3_80.mzML","sample","2025-10-16T09:22:16"
"5051_4_80.mzML","sample","2025-10-16T07:39:26"
"Ext_blank_1_2_80.mzML","blank","2025-10-16T00:13:45"
"Ext_blank_2_1_80.mzML","blank","2025-10-15T23:56:37"
"Ext_blank_1_1_80.mzML","blank","2025-10-15T23:39:29"
"mxaF_3_80.mzML","sample","2025-10-16T10:48"
"mxaF_4_80.mzML","sample","2025-10-16T11:05:08"
"mxaF_1_80.mzML","sample","2025-10-16T10:13:43"
"Ext_blank_2_2_80.mzML","blank","2025-10-16T00:30:54"
"mxaF_2_80.mzML","sample","2025-10-16T10:30:51"
