row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,10_80.mzML Peak area,11_80.mzML Peak area,12_80.mzML Peak area,13_80.mzML Peak area,14_80.mzML Peak area,15_80.mzML Peak area,16_80.mzML Peak area,17_80.mzML Peak area,18_80.mzML Peak area,19_80.mzML Peak area,1_80.mzML Peak area,20_80.mzML Peak area,21_80.mzML Peak area,22_80.mzML Peak area,23_80.mzML Peak area,24_80.mzML Peak area,25_80.mzML Peak area,26_80.mzML Peak area,27_80.mzML Peak area,28_80.mzML Peak area,29_80.mzML Peak area,2_80.mzML Peak area,30_80.mzML Peak area,31_80.mzML Peak area,32_80.mzML Peak area,33_80.mzML Peak area,34_80.mzML Peak area,35_80.mzML Peak area,36_80.mzML Peak area,3_80.mzML Peak area,4_80.mzML Peak area,5_80.mzML Peak area,6_80.mzML Peak area,7_80.mzML Peak area,8_80.mzML Peak area,9_80.mzML Peak area,Ext_blk_1_80.mzML Peak area,Ext_blk_2_80.mzML Peak area,Media_blank_37_80.mzML Peak area,blank14.mzML Peak area,blank_1.mzML Peak area,blank_10.mzML Peak area,blank_11.mzML Peak area,blank_12.mzML Peak area,blank_13.mzML Peak area,blank_15.mzML Peak area,blank_16.mzML Peak area,blank_17.mzML Peak area,blank_18.mzML Peak area,blank_2.mzML Peak area,blank_3.mzML Peak area,blank_4.mzML Peak area,blank_5.mzML Peak area,blank_6.mzML Peak area,blank_7.mzML Peak area,blank_8.mzML Peak area,blank_9.mzML Peak area,
4,378.8586372198798,0.32418278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.58777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14428.228,0,0,0,0,0,0,0,
11,299.91264543446465,0.3303162,,,,13,,,,,,,5152.995,5995.9233,6278.1353,8084.907,6390.479,4821.039,4174.5576,4375.0205,4077.9988,4239.0366,2763.8306,3897.9365,3243.7,3286.277,3473.8442,3102.7256,3029.665,3214.947,3003.476,1476.4171,3081.5896,2907.1985,2752.0183,0,3352.2134,2683.0393,2686.4893,2751.3762,2477.098,2967.526,2870.4868,3987.5388,3778.0127,4585.185,4985.6274,4986.6343,145.82071,2183.7036,2422.566,2949.6592,0,2871.8916,2992.1545,3028.2676,2560.287,2407.7583,2840.7996,1746.2955,1975.8074,1855.5819,0,4655.1553,9318.208,4493.0547,3736.4058,3682.8423,3142.6772,
9,208.94388834371605,0.33145994,,,,13,,,,,,,4406.5557,7004.024,6815.66,9146.296,7655.501,8093.98,7141.7974,7545.573,10438.312,10551.224,7612.603,10106.272,5630.7334,7789.6343,7420.217,7685.1255,7891.9526,7414.75,7957.453,1553.0721,6092.664,6813.8887,5280.724,5297.4316,10388.401,7094.4253,7505.504,7424.3037,5963.9194,7911.629,7773.5054,3749.8162,4295.775,2848.484,6283.1484,6759.291,3525.426,5345.564,7415.0127,8023.729,338.76364,7436.6387,7439.805,7297.962,7423.585,7340.1377,7935.027,5682.279,5916.5503,2824.456,3084.3596,6028.0366,8023.324,8037.2104,10611.141,7841.2715,7512.695,
21,246.86227914277111,0.33335426,,,,13,,,,,,,9906.224,13052.012,18648.031,19744.475,12209.24,10530.997,8937.701,9071.994,10402.445,9491.044,6363.041,7260.004,6165.2554,5634.7354,6844.032,6303.978,6552.885,5635.8193,5413.375,5157.1787,5646.793,5189.7,5897.779,984.66797,7787.1714,4282.488,3882.089,5793.691,4367.962,5961.0757,4986.6313,7931.352,8359.09,7813.2954,9845.853,9725.798,1174.7117,3598.3103,4696.902,5544.411,0,5978.2593,6490.718,6321.2446,4386.779,5458.7793,3519.7583,2882.6475,3066.1433,5478.5713,5099.692,11251.608,23473.215,9444.497,8476.412,6474.687,7200.996,
20,295.87064303921835,0.33366057,,,,13,,,,,,,4611.4863,4450.8813,4998.7505,5948.9473,4553.033,3271.0598,3603.8376,3281.9224,3067.3752,2993.9736,1649.667,2807.1482,2185.8245,2410.3206,2347.5518,2184.9226,2131.2463,1957.727,1667.2441,1589.8741,1720.4108,1934.237,2023.6912,0,2496.3364,1878.7413,1819.4065,1658.6598,1636.2979,1916.4899,1730.4221,3498.707,3551.4365,3935.2427,4181.9053,4622.2065,169.83725,1539.8888,1408.3044,1916.7074,0,2382.0063,1991.8922,2116.0762,1618.8755,1506.4948,1604.0979,1021.8752,1474.4252,553.0746,518.37585,4386.54,11868.817,3130.9263,3248.4766,2585.1235,2245.5374,
17,220.9069385407576,0.33466172,,,,13,,,,,,,3892.6965,4555.9927,4169.6133,6467.456,4891.0303,3822.1401,3511.7395,3428.2017,3252.0386,3354.194,2584.0127,2978.2703,2558.428,2589.2788,2978.141,2687.5366,2592.7139,2322.3035,2135.6956,2347.7205,1988.0658,2401.815,2571.557,0,2601.464,2425.1238,2516.5413,2449.585,2064.2686,2281.3813,2557.0981,3297.1514,2962.3726,3588.693,4035.2488,4053.9976,1781.3644,2126.2441,1766.9113,2239.0847,0,2359.9011,2468.3337,2381.015,2251.6138,1685.5188,2024.3049,1324.6426,1656.224,3991.8987,452.84036,3962.7615,8120.8877,3528.6775,2820.1565,2960.5325,2440.1248,
13,287.8888751817973,0.33650088,,,,13,,,,,,,12024.222,14574.121,17557.648,19722.135,14672.851,11134.07,10783.806,9119.803,8926.607,9648.242,6099.635,7581.0625,6223.461,6935.8096,6710.954,6137.638,6676.624,6041.4033,5459.9766,180.42336,6055.5283,5910.906,6013.888,131.34303,7424.278,5362.3496,5282.721,5108.975,4716.237,6167.4663,5661.839,10119.464,8749.547,10206.404,10495.035,11192.184,190.53429,4517.049,4237.937,4767.0073,0,5857.9673,6472.3647,6452.002,5145.9297,5097.1367,4708.7876,3127.8726,3624.8694,5351.859,0,11324.545,22993.285,9636.851,8292.975,7733.7407,6496.6514,
26,305.89937093923453,0.3365311,,,,13,,,,,,,10642.897,12605.099,14957.063,15423.408,12276.557,8879.89,8921.342,8127.4253,7717.1436,7466.297,5279.5957,7033.037,5845.325,6147.179,6088.427,5646.83,5457.457,5130.7183,5309.3887,409.3199,5265.5327,5173.1035,4929.759,381.467,6565.1616,5221.6655,4785.528,4907.78,4738.4775,5412.4204,5339.345,8499.05,8034.1294,9406.975,9023.464,9835.179,436.47833,4479.3726,4118.9033,5239.9814,0,5513.659,6228.135,5838.976,5121.637,4722.013,4523.74,3438.4387,3613.5325,3664.7058,721.4597,10358.319,19556.0,8112.776,7726.3477,7109.501,5798.018,
15,193.9301199064305,0.33679813,,,,13,,,,,,,4661.8604,6164.693,6926.9253,5322.331,5045.204,4616.213,4136.9033,3826.546,6711.1943,5977.1895,10728.593,4009.5693,2953.1191,3912.1384,6634.503,5069.0693,3668.945,3540.2134,6534.45,2225.2786,6608.1353,8973.611,8800.242,3193.3745,14814.814,6452.407,5029.112,4739.455,4601.364,8080.1562,5617.2207,5352.994,5003.163,6488.3296,6704.624,6511.7505,1512.9858,4104.1045,4064.6052,4184.43,0,1655.8302,9503.243,13466.168,3608.4543,4655.5073,3412.0288,3132.1729,3185.9165,4007.8667,1900.5642,7135.56,9106.777,3923.4683,4649.711,3940.4387,7092.4834,
25,264.87290317907485,0.33757576,,,,13,,,,,,,29599.732,28143.055,42779.008,43631.98,34406.164,28114.482,27269.49,23561.715,24132.672,19771.494,15001.435,17775.959,18187.35,15879.241,16181.659,19408.904,15097.26,14477.4375,14358.379,13452.687,14277.691,14032.175,15147.372,13753.272,17410.115,13146.847,13557.576,12931.496,12493.309,14065.385,13905.065,19666.184,23487.623,20815.916,27935.5,22226.63,11887.167,7970.0674,11175.591,13379.575,0,19054.482,15336.547,16144.49,12800.028,13124.265,12269.869,8843.69,10513.507,10624.101,12778.543,30819.227,74265.11,25390.61,22995.723,17040.691,15950.349,
