ID1,ID2,EdgeType,Score,Annotation
123,155,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97357
186,205,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97357
189,229,MS1 annotation,2,[M+Na]+ [2M+K]+ dm/z=355.91072
191,244,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97308
202,271,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97369
245,278,MS1 annotation,2,[2M+Na]+ [M+K]+ dm/z=203.96182
252,270,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97382
314,339,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98203
322,391,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98202
323,324,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97391
328,329,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97384
336,384,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98185
336,346,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.9739
338,392,MS1 annotation,5,[2M+H]+ [M+Na]+ dm/z=302.06047
338,382,MS1 annotation,5,[2M+K]+ [M+Na]+ dm/z=340.01675
338,381,MS1 annotation,5,[2M+Na]+ [M+Na]+ dm/z=324.0424
338,395,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98199
342,343,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97388
345,393,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97485
345,405,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95677
345,380,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98175
346,384,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95574
352,387,MS1 annotation,4,[M+K]+ [M+2H]+2 dm/z=521.00995
352,368,MS1 annotation,4,[M+Na]+ [M+2H]+2 dm/z=505.0413
352,366,MS1 annotation,4,[M+H]+ [M+2H]+2 dm/z=483.063
352,353,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98201
352,368,MS1 annotation,3,[2M+Na]+ [M+H]+ dm/z=505.0413
352,353,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98201
