row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,10_80.mzML Peak area,11_80.mzML Peak area,12_80.mzML Peak area,13_80.mzML Peak area,14_80.mzML Peak area,15_80.mzML Peak area,16_80.mzML Peak area,17_80.mzML Peak area,18_80.mzML Peak area,19_80.mzML Peak area,1_80.mzML Peak area,20_80.mzML Peak area,21_80.mzML Peak area,22_80.mzML Peak area,23_80.mzML Peak area,24_80.mzML Peak area,25_80.mzML Peak area,26_80.mzML Peak area,27_80.mzML Peak area,28_80.mzML Peak area,29_80.mzML Peak area,2_80.mzML Peak area,30_80.mzML Peak area,31_80.mzML Peak area,32_80.mzML Peak area,33_80.mzML Peak area,34_80.mzML Peak area,35_80.mzML Peak area,36_80.mzML Peak area,3_80.mzML Peak area,4_80.mzML Peak area,5_80.mzML Peak area,6_80.mzML Peak area,7_80.mzML Peak area,8_80.mzML Peak area,9_80.mzML Peak area,Ext_blk_1_80.mzML Peak area,Ext_blk_2_80.mzML Peak area,Media_blank_37_80.mzML Peak area,blank14.mzML Peak area,blank_1.mzML Peak area,blank_10.mzML Peak area,blank_11.mzML Peak area,blank_12.mzML Peak area,blank_13.mzML Peak area,blank_15.mzML Peak area,blank_16.mzML Peak area,blank_17.mzML Peak area,blank_18.mzML Peak area,blank_2.mzML Peak area,blank_3.mzML Peak area,blank_4.mzML Peak area,blank_5.mzML Peak area,blank_6.mzML Peak area,blank_7.mzML Peak area,blank_8.mzML Peak area,blank_9.mzML Peak area,
4,378.8586372198798,0.32418278,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.58777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14428.228,0,0,0,0,0,0,0,
10,208.94389051590147,0.32922176,,,,14,,,,,,,4406.5557,5847.9775,5542.181,7422.6416,6951.8096,6577.0703,5831.0376,6129.3706,6014.345,9427.759,6191.607,9504.628,5630.7334,6218.115,5874.7964,6025.6753,6335.8525,5942.2993,6148.5107,1553.0721,6092.664,6098.9297,5280.724,4986.7764,8328.459,6305.1455,6062.167,7218.6177,5963.9194,6354.7656,6292.4287,3749.8162,4295.775,2848.484,5110.702,5541.77,2248.6365,5345.564,5949.4805,6605.771,0,5788.365,6096.3086,5984.424,6099.3345,6152.083,6435.897,5053.366,4910.847,2171.4243,3084.3596,5539.562,7076.991,6431.8877,8835.431,6240.822,6212.222,
11,299.91264555390865,0.3303162,,,,14,,,,,,,5152.995,5995.9233,6278.1353,8084.907,6390.479,4821.039,4174.5576,4375.0205,4077.9988,4239.0366,2763.8306,3897.9365,3243.7,3286.277,3473.8442,3102.7256,3029.665,3214.947,3003.476,1476.4171,3081.5896,2907.1985,2752.0183,0,3352.2134,2683.0393,2686.4893,2751.3762,2477.098,2967.526,2870.4868,3987.5388,3778.0127,4585.185,4985.6274,4986.6343,145.82071,2183.7036,2422.566,2949.6592,0,2871.8916,2992.1545,3028.2676,2560.287,2407.7583,2840.7996,1746.2955,1975.8074,1855.5819,0,4655.1553,9127.038,4493.0547,3736.4058,3682.8423,3142.6772,
14,287.8888763391121,0.3328731,,,,14,,,,,,,12024.222,14574.121,16342.839,19722.135,14672.851,11134.07,10783.806,9119.803,8926.607,9534.822,5997.5347,7581.0625,6223.461,6935.8096,6521.046,6137.638,6550.234,6019.3257,5459.9766,180.42336,6055.5283,5910.906,6013.888,0,7235.207,5362.3496,5282.721,5108.975,4716.237,6110.453,5661.839,10015.87,8749.547,10206.404,10495.035,11192.184,0,4517.049,4237.937,4767.0073,0,5857.9673,6472.3647,6452.002,5145.9297,5097.1367,4708.7876,3127.8726,3624.8694,5255.844,0,11324.545,22407.537,9636.851,8292.975,7733.7407,6458.335,
21,246.8622767587404,0.33314243,,,,14,,,,,,,9906.224,12381.788,14435.614,16839.314,11609.176,9376.05,8937.701,8177.005,8983.13,8489.609,6016.22,7168.251,5878.7085,5634.7354,6363.869,5907.28,5725.94,5565.828,5172.3657,5157.1787,5291.183,5189.7,5703.226,749.52734,6751.8003,4282.488,3882.089,5013.348,4367.962,5258.301,4986.6313,7931.352,8359.09,7813.2954,8969.499,9725.798,921.22437,3598.3103,4247.226,4996.1514,0,5549.847,5930.3003,6123.857,4386.779,4979.8247,3519.7583,2882.6475,3066.1433,4880.9497,0,10002.745,23473.215,8515.356,7640.779,6474.687,6268.5386,
20,295.87064351171784,0.33366057,,,,14,,,,,,,4288.4463,4450.8813,4998.7505,5668.0493,4327.965,3271.0598,3545.7876,3281.9224,3067.3752,2993.9736,1649.667,2807.1482,2185.8245,2410.3206,2347.5518,2184.9226,2131.2463,1957.727,1667.2441,1589.8741,1720.4108,1934.237,2023.6912,0,2496.3364,1878.7413,1819.4065,1658.6598,1636.2979,1916.4899,1730.4221,3498.707,3512.0217,3815.488,4073.6543,4203.557,169.83725,1539.8888,1408.3044,1916.7074,0,2382.0063,1991.8922,2116.0762,1618.8755,1506.4948,1604.0979,1021.8752,1474.4252,553.0746,489.11612,4109.5757,9970.789,3130.9263,3210.2288,2585.1235,2245.5374,
17,220.90693871118594,0.33466172,,,,14,,,,,,,3892.6965,4520.4297,4169.6133,6311.321,4680.988,3780.6265,3511.7395,3428.2017,3252.0386,3354.194,2584.0127,2978.2703,2558.428,2589.2788,2913.5325,2687.5366,2592.7139,2322.3035,2135.6956,2347.7205,1988.0658,2401.815,2571.557,0,2601.464,2425.1238,2516.5413,2449.585,2064.2686,2281.3813,2557.0981,3297.1514,2962.3726,3588.693,3911.0662,3942.6118,1781.3644,2126.2441,1766.9113,2239.0847,0,2359.9011,2468.3337,2381.015,2251.6138,1685.5188,2024.3049,1324.6426,1656.224,3991.8987,452.84036,3918.7385,7916.9136,3528.6775,2820.1565,2960.5325,2440.1248,
26,305.8993693716891,0.3350982,,,,14,,,,,,,10642.897,12605.099,13733.589,15423.408,12079.203,8879.89,8692.031,8127.4253,7717.1436,7466.297,5279.5957,6910.515,5845.325,5987.872,6088.427,5646.83,5457.457,5130.7183,5309.3887,409.3199,5265.5327,5141.552,4929.759,0,6502.259,5221.6655,4785.528,4850.044,4685.056,5412.4204,5307.011,8437.633,8034.1294,8819.352,9023.464,9835.179,436.47833,4479.3726,4118.9033,5239.9814,0,5467.507,5977.8193,5740.091,5081.606,4722.013,4523.74,3438.4387,3613.5325,3377.3948,680.5259,10358.319,18139.01,7827.732,7591.18,7065.8823,5798.018,
15,193.93012016514234,0.33679813,,,,14,,,,,,,4661.8604,6164.693,6872.6885,5322.331,5045.204,4616.213,4136.9033,3628.9077,5520.0977,5977.1895,9250.675,4009.5693,2953.1191,3912.1384,5373.9155,4473.142,3668.945,3540.2134,5231.4756,1510.158,5557.8984,6985.9253,7440.0083,2875.3896,14814.814,6452.407,4224.345,3981.834,3916.7812,6233.339,5617.2207,5352.994,4468.518,5329.599,5601.915,6511.7505,923.24194,3588.065,3475.0928,4184.43,0,1655.8302,7093.332,9878.868,3608.4543,4655.5073,3412.0288,3132.1729,2984.4678,3407.4688,1017.2157,7135.56,6364.3286,3923.4683,3989.2256,3742.518,5477.2,
25,264.87289846153004,0.3374407,,,,14,,,,,,,23616.32,28143.055,33232.7,35528.395,28658.697,23016.125,22463.45,20228.164,19519.182,17226.203,13010.378,15447.1875,14908.302,13557.012,13324.599,15906.423,13127.47,12609.612,12116.514,11494.344,12531.735,11892.519,12646.222,11892.203,14551.559,11825.543,11304.559,10844.669,10512.646,12047.821,11960.788,17447.873,18494.895,17838.805,22275.938,22226.63,9904.8,7970.0674,9459.298,11382.695,0,14783.81,13005.747,13677.584,12800.028,11029.712,10529.49,8057.8096,8768.641,8423.998,0,24324.93,54809.367,20608.871,18844.299,14538.308,14055.973,
