"filename","mzmine_sample_type","run_date"
"6_80.mzML","sample","2026-05-22T23:22:48"
"5_80.mzML","sample","2026-05-22T23:05:19"
"11_80.mzML","sample","2026-05-23T01:07:41"
"14_80.mzML","sample","2026-05-23T02:35:07"
"10_80.mzML","sample","2026-05-23T00:50:12"
"15_80.mzML","sample","2026-05-23T02:52:35"
"9_80.mzML","sample","2026-05-23T00:32:44"
"3_80.mzML","sample","2026-05-23T11:19:45"
"7_80.mzML","sample","2026-05-22T23:40:16"
"8_80.mzML","sample","2026-05-22T23:57:44"
"2_80.mzML","sample","2026-05-23T11:02:16"
"12_80.mzML","sample","2026-05-23T01:25:09"
"1_80.mzML","sample","2026-05-23T10:44:48"
"4_80.mzML","sample","2026-05-23T11:37:14"
"13_80.mzML","sample","2026-05-23T02:17:39"
"19_80.mzML","sample","2026-05-23T04:20"
"18_80.mzML","sample","2026-05-23T04:02:32"
"16_80.mzML","sample","2026-05-23T03:10:04"
"17_80.mzML","sample","2026-05-23T03:45:04"
"21_80.mzML","sample","2026-05-23T05:47:32"
"22_80.mzML","sample","2026-05-23T06:05"
"24_80.mzML","sample","2026-05-23T06:39:57"
"20_80.mzML","sample","2026-05-23T04:37:29"
"27_80.mzML","sample","2026-05-23T08:07:26"
"23_80.mzML","sample","2026-05-23T06:22:29"
"25_80.mzML","sample","2026-05-23T07:32:29"
"28_80.mzML","sample","2026-05-23T08:24:54"
"26_80.mzML","sample","2026-05-23T07:49:57"
"29_80.mzML","sample","2026-05-23T09:17:22"
"34_80.mzML","sample","2026-05-23T12:47:15"
"31_80.mzML","sample","2026-05-23T09:52:17"
"36_80.mzML","sample","2026-05-23T13:22:11"
"35_80.mzML","sample","2026-05-23T13:04:43"
"30_80.mzML","sample","2026-05-23T09:34:51"
"33_80.mzML","sample","2026-05-23T12:29:46"
"blank_3.mzML","blank","2026-05-22T22:47:51"
"32_80.mzML","sample","2026-05-23T10:09:48"
"blank_4.mzML","blank","2026-05-23T00:15:14"
"blank_5.mzML","blank","2026-05-23T01:42:42"
"blank_6.mzML","blank","2026-05-23T03:27:34"
"blank_2.mzML","blank","2026-05-22T22:12:48"
"blank_1.mzML","blank","2026-05-22T21:55:16"
"blank_7.mzML","blank","2026-05-23T04:55:03"
"blank_8.mzML","blank","2026-05-23T05:30:04"
"blank_12.mzML","blank","2026-05-23T10:27:20"
"blank_11.mzML","blank","2026-05-23T08:42:26"
"blank_9.mzML","blank","2026-05-23T06:57:29"
"blank_17.mzML","blank","2026-05-23T15:24:40"
"blank_10.mzML","blank","2026-05-23T07:15:01"
"blank_13.mzML","blank","2026-05-23T11:54:46"
"blank_16.mzML","blank","2026-05-23T14:14:44"
"blank_18.mzML","blank","2026-05-23T15:42:12"
"blank_15.mzML","blank","2026-05-23T13:39:44"
"blank14.mzML","blank","2026-05-23T12:12:18"
"Ext_blk_1_80.mzML","blank","2026-05-23T14:32:11"
"Ext_blk_2_80.mzML","blank","2026-05-23T14:49:39"
"Media_blank_37_80.mzML","blank","2026-05-23T15:07:07"
