ID1,ID2,EdgeType,Score,Annotation
194,215,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97357
198,239,MS1 annotation,2,[M+Na]+ [2M+K]+ dm/z=355.91072
200,256,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97308
212,283,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97369
257,289,MS1 annotation,2,[2M+Na]+ [M+K]+ dm/z=203.96175
264,282,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97382
326,351,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98203
334,403,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98202
335,336,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97391
340,341,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97384
348,396,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98185
348,358,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.9739
350,393,MS1 annotation,5,[2M+Na]+ [M+Na]+ dm/z=324.0424
350,404,MS1 annotation,5,[2M+H]+ [M+Na]+ dm/z=302.06047
350,407,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98199
350,394,MS1 annotation,5,[2M+K]+ [M+Na]+ dm/z=340.01675
354,355,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97388
357,405,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97485
357,417,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95677
357,392,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98175
358,396,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95574
364,378,MS1 annotation,4,[M+H]+ [M+2H]+2 dm/z=483.063
364,380,MS1 annotation,4,[M+Na]+ [M+2H]+2 dm/z=505.0413
364,399,MS1 annotation,4,[M+K]+ [M+2H]+2 dm/z=521.00995
364,365,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98201
364,380,MS1 annotation,3,[2M+Na]+ [M+H]+ dm/z=505.0413
364,365,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98201
364,380,MS1 annotation,3,[2M+Na]+ [2M+2H]+2 dm/z=505.0413
