id,compound_name,adduct,score,precursor_mz,ion_mobility,ccs,rt,mol_formula,smiles,inchi,inchi_key,method,usi,entry_id,iupac_name,cas,internal_id,query_spectrum_usi
25750,LPC 16:1,[M+H]+,0.754,494.32411595809094,,,,C24H48NO7P,,,,matchedlipid,,,,,,
26107,LPC 16:1,[M+H]+,0.758,494.32411595809094,,,,C24H48NO7P,,,,matchedlipid,,,,,,
27321,LPC 16:0,[M+H]+,0.750,496.33976602209094,,,,C24H50NO7P,,,,matchedlipid,,,,,,
27895,LPC 18:1,[M+H]+,0.773,522.3554160860909,,,,C26H52NO7P,,,,matchedlipid,,,,,,
28435,LPC 18:1,[M+H]+,0.760,522.3554160860909,,,,C26H52NO7P,,,,matchedlipid,,,,,,
28585,PC 34:1,[M+H]+,0.736,760.585081666091,,,,C42H82NO8P,,,,matchedlipid,,,,,,
29028,PC 36:2,[M+H]+,0.755,786.600731730091,,,,C44H84NO8P,,,,matchedlipid,,,,,,
29278,PC 34:2,[M+H]+,0.714,758.569431602091,,,,C42H80NO8P,,,,matchedlipid,,,,,,
29464,PC 34:1,[M+H]+,0.737,760.585081666091,,,,C42H82NO8P,,,,matchedlipid,,,,,,
29379,PC 36:1,[M+H]+,0.814,788.616381794091,,,,C44H86NO8P,,,,matchedlipid,,,,,,
29431,PC 36:2,[M+H]+,0.767,786.600731730091,,,,C44H84NO8P,,,,matchedlipid,,,,,,
29431,PC 18:1/18:1,[M+H]+,0.729,786.600731730091,,,,C44H84NO8P,,,,matchedlipid,,,,,,
29472,PC 34:2,[M+H]+,0.735,758.569431602091,,,,C42H80NO8P,,,,matchedlipid,,,,,,
30234,LPC 18:0,[M+H]+,0.763,524.371066150091,,,,C26H54NO7P,,,,matchedlipid,,,,,,
30824,LPC 18:0,[M+H]+,0.692,524.371066150091,,,,C26H54NO7P,,,,matchedlipid,,,,,,
31132,PC 36:1,[M+H]+,0.738,788.616381794091,,,,C44H86NO8P,,,,matchedlipid,,,,,,
31200,PC 36:2,[M+H]+,0.753,786.600731730091,,,,C44H84NO8P,,,,matchedlipid,,,,,,
31200,PC 18:1/18:1,[M+H]+,0.736,786.600731730091,,,,C44H84NO8P,,,,matchedlipid,,,,,,
31242,PC 34:1,[M+H]+,0.736,760.585081666091,,,,C42H82NO8P,,,,matchedlipid,,,,,,
31376,PC 36:1,[M+H]+,0.816,788.616381794091,,,,C44H86NO8P,,,,matchedlipid,,,,,,
31538,PC 36:2,[M+H]+,0.752,786.600731730091,,,,C44H84NO8P,,,,matchedlipid,,,,,,
