"featureID","mz","retention_time","4132_1A_80MeOH_NdCL3.mzML","4132_2A_80MeOH_NdCL3.mzML","4132_3A_80MeOH_NdCL3.mzML","4132_4A_80MeOH_NdCL3.mzML","4132_S1_1D_80MeOH.mzML","4132_S2_2D_80MeOH.mzML","4132_S3_3D_80MeOH.mzML","4132_WT_S10_1D_80MeOH.mzML","4132_WT_S11_2D_80MeOH.mzML","4132_WT_S12_3D_80MeOH.mzML","4133_1A_80MeOH_NdCl3.mzML","4133_2A_80MeOH_NdCl3.mzML","4133_3A_80MeOH_NdCl3_.mzML","4133_4A_80MeOH_NdCl3_.mzML","4133_S4_1D_80MeOH.mzML","4133_S5_2D_80MeOH.mzML","4133_S6_3D_80MeOH.mzML","4133_WT_S13_1D_80MeOH.mzML","4133_WT_S14_2D_80MeOH.mzML","4133_WT_S15_3D_80MeOH.mzML","4134_1A_80MeOH_Nd2O3.mzML","4134_1A_80MeOH_NdCl3.mzML","4134_2A_80MeOH_Nd2O3.mzML","4134_2A_80MeOH_NdCl3.mzML","4134_3A_80MeOH_Nd2O3.mzML","4134_3A_80MeOH_NdCl3.mzML","4134_4A_80MeOH_Nd2O3.mzML","4134_4A_80MeOH_NdCl3.mzML","4135_1A_80MeOH_Nd2O3.mzML","4135_1B_80MeOH.mzML","4135_2A_80MeOH_Nd2O3.mzML","4135_2B_80MeOH.mzML","4135_3A_80MeOH_Nd2O3.mzML","4135_3B_80MeOH.mzML","4135_4A_80MeOH_Nd2O3.mzML","4135_4B_80MeOH.mzML","4136_1A_80MeOH_Nd2O3_dil.mzML","4136_1C_80MeOH.mzML","4136_2A_80MeOH_Nd2O3_dil.mzML","4136_2C_80MeOH.mzML","4136_3A_80MeOH_Nd2O3_dil.mzML","4136_3C_80MeOH.mzML","4136_4A_80MeOH_Nd2O3_dil.mzML","4136_4C_80MeOH.mzML","4137_1E_80.mzML","4137_2E_80.mzML","4137_3E_80.mzML","4137_4E_80.mzML","4138_1B_80MeOH.mzML","4138_1E_80.mzML","4138_2B_80MeOH.mzML","4138_2E_80.mzML","4138_3B_80MeOH.mzML","4138_3E_80.mzML","4138_4B_80MeOH.mzML","4138_4E_80.mzML","4138_S16_1D_80MeOH_dil.mzML","4138_S18_3D_80MeOH_dil.mzML","4138_S7_1D_80MeOH_dil.mzML","4138_S8_2D_80MeOH_dil.mzML","5051_pellet_80_1.mzML","5051_pellet_80_2.mzML","5051_pellet_80_3.mzML","5051_pellet_80_4.mzML","5051_super_80_1.mzML","5051_super_80_2.mzML","5051_super_80_3.mzML","5051_super_80_4.mzML","mxaF_1B_80MeOH.mzML","mxaF_2B_80MeOH.mzML","mxaF_3B_80MeOH.mzML","mxaF_4B_80MeOH.mzML"
36,573.24,0.379,0,0,0,0,189537.95,87260.21,219556.05,0,0,0,0,0,0,0,147189.03,86319.2,222637.53,0,0,5974.7324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,324.177,0.38,211718.8,696356.56,233500.3,173027.94,2484898.5,1135930.1,3000121,308847.8,89123.31,205373.34,340509.66,1384717.2,326205.4,2688849.8,4281321.5,2534597.2,7015314,833836.8,1385103.5,4505210.5,0,0,0,0,0,2587.2388,0,0,0,0,0,0,0,0,10099.867,0,0,0,0,0,0,0,0,3948.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,162.076,0.381,90293.86,291312.66,98482.32,72084.95,1157987.4,563962.2,1463368.9,126224.27,36525.1,82082.48,139452.97,575017.25,134872.75,1108364.8,1847963,1109129,2816900.8,341776.03,568740.6,1840087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2166.0884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,243.126,0.381,1457.3889,9182.594,2103.9253,1682.6094,31803.705,17571.6,42043.297,3656.2056,0,2282.5928,3621.1611,20883.43,5075.1387,42341.523,59506.312,39462.37,102752.805,11315.704,21951.062,78963.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,187.108,0.381,7820.1396,25851.322,7029.064,4710.108,131129.1,62868.555,163956.02,9450.975,1422.2673,7210.185,12233.937,51870.207,12537.938,105540.33,184089.5,116365.46,280736.1,31536.2,55066.902,188379.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,348.176,0.381,2362.512,10219.404,2256.2676,1107.0406,54881.047,21879.443,64053.07,4168.265,0,2714.5776,4163.9194,24310.143,5116.5845,52893.297,100311.76,51048.707,151837.83,15392.79,27542.752,101697.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,306.166,0.382,2230.063,12585.558,1979.9409,0,45583.4,21455.79,54287.664,3695.0615,0,1062.7406,3849.5415,21704.549,3950.804,43317.656,83707.266,48196.77,114683.96,11762.684,22359.46,78641.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,205.118,0.383,23213.13,78253.7,24516.906,20326.316,411014.06,204769.98,501363.16,33072.375,8746.02,21881.117,38427.84,160492.12,37837.26,316757.9,599191.6,364990,951770.25,100748.07,175155.45,585041.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,523.201,0.383,0,0,0,0,73789.195,27059.512,72253.76,0,0,0,0,1898.0903,0,11805.723,127507.945,55336.227,149488.62,16633.219,38887.973,123687.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,448.192,0.384,0,0,0,0,107880.61,41423.082,127122.125,0,0,0,0,0,0,0,84685.33,45682.438,140038.53,0,0,7273.1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
