"","filename","ATTRIBUTE_Technical_Replicate","ATTRIBUTE_Biological_Replicate","ATTRIBUTE_Batch","ATTRIBUTE_Sample_Name","ATTRIBUTE_Sample_Type","ATTRIBUTE_OD_600nm","ATTRIBUTE_Supernatant_vol_mL","ATTRIBUTE_Metal_Growing_Condition","ATTRIBUTE_Gene_KO","ATTRIBUTE_Methanol_Percentage","ATTRIBUTE_Organism"
"1","4132_1A_80MeOH_NdCL3.mzML",1,1,"A","mxaF_4132_kan1_NdCL3","Sample",1.26,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"2","4132_2A_80MeOH_NdCL3.mzML",1,2,"A","mxaF_4132_kan2_NdCL3","Sample",1.18,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"3","4132_3A_80MeOH_NdCL3.mzML",1,3,"A","mxaF_4132_kan3_NdCL3","Sample",1.36,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"4","4132_4A_80MeOH_NdCL3.mzML",1,4,"A","mxaF_4132_kan4_NdCL3","Sample",1.3,45,"2uM_NdCl3","mxaF_and_4132",80,"Methylorubrum_Extorquens_AM1"
"5","4133_1A_80MeOH_NdCl3.mzML",1,1,"A","mxaF_4133_kan1_NdCL3","Sample",1.41,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"6","4133_2A_80MeOH_NdCl3.mzML",1,2,"A","mxaF_4133_kan2_NdCL3","Sample",1.25,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"7","4133_3A_80MeOH_NdCl3_.mzML",1,3,"A","mxaF_4133_kan3_NdCL3","Sample",1.32,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"8","4133_4A_80MeOH_NdCl3_.mzML",1,4,"A","mxaF_4133_kan4_NdCL3","Sample",1.43,45,"2uM_NdCl3","mxaF_and_4133",80,"Methylorubrum_Extorquens_AM1"
"9","4134_1A_80MeOH_NdCl3.mzML",1,1,"A","mxaF4134_1_NdCl3","Sample",0.91,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"10","4134_2A_80MeOH_NdCl3.mzML",1,2,"A","mxaF4134_2_NdCl3","Sample",0.92,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"11","4134_3A_80MeOH_NdCl3.mzML",1,3,"A","mxaF4134_3_NdCl3","Sample",1.25,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"12","4134_4A_80MeOH_NdCl3.mzML",1,4,"A","mxaF4134_4_NdCl3","Sample",1.36,45,"2uM_NdCl3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"13","4134_1A_80MeOH_Nd2O3.mzML",1,1,"A","mxaF4134_1_Nd2O3","Sample",1.08,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"14","4134_2A_80MeOH_Nd2O3.mzML",1,2,"A","mxaF4134_2_Nd2O3","Sample",0.85,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"15","4134_3A_80MeOH_Nd2O3.mzML",1,3,"A","mxaF4134_3_Nd2O3","Sample",0.9,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"16","4134_4A_80MeOH_Nd2O3.mzML",1,4,"A","mxaF4134_4_Nd2O3","Sample",0.85,45,"2uM_Nd2O3","mxaF_and_4134",80,"Methylorubrum_Extorquens_AM1"
"17","4135_1A_80MeOH_Nd2O3.mzML",1,1,"A","mxaF4135_1_Nd2O3","Sample",0.84,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"18","4135_2A_80MeOH_Nd2O3.mzML",1,2,"A","mxaF4135_2_Nd2O3","Sample",1.04,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"19","4135_3A_80MeOH_Nd2O3.mzML",1,3,"A","mxaF4135_3_Nd2O3","Sample",0.88,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"20","4135_4A_80MeOH_Nd2O3.mzML",1,4,"A","mxaF4135_4_Nd2O3","Sample",1.15,45,"2uM_Nd2O3","mxaF_and_4135",80,"Methylorubrum_Extorquens_AM1"
"21","4136_1A_80MeOH_Nd2O3_dil.mzML",1,1,"A","mxaF4136_1_Nd2O3","Sample",1.37,45,"2uM_Nd2O3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"22","4136_2A_80MeOH_Nd2O3_dil.mzML",1,2,"A","mxaF4136_2_Nd2O3","Sample",1.43,45,"2uM_Nd2O3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
"23","4136_3A_80MeOH_Nd2O3_dil.mzML",1,3,"A","mxaF4136_3_Nd2O3","Sample",1.42,45,"2uM_Nd2O3","mxaF_and_4136",80,"Methylorubrum_Extorquens_AM1"
