ID1,ID2,EdgeType,Score,Annotation
55,116,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02656
68,116,MS1 annotation,2,[M+H-H2O]+ [M+NH4]+ dm/z=35.03721
73,140,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02676
91,179,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02662
91,179,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02662
92,192,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02679
112,196,MS1 annotation,2,[M+Na]+ [M+2H]+2 dm/z=264.10124
112,196,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=264.10124
160,224,MS1 annotation,2,[M+NH4]+ [M+2H]+2 dm/z=201.66347
160,224,MS1 annotation,2,[2M+NH4]+ [M+H]+ dm/z=201.66347
217,316,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97741
225,248,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97697
288,353,MS1 annotation,2,[M-H+2Na]+ [M+H]+ dm/z=43.96208
515,601,MS1 annotation,2,[M+Na]+ [2M+K]+ dm/z=197.9611
549,586,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97489
762,774,MS1 annotation,2,[M+K]+ [M+H]+ dm/z=37.95601
770,779,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.0266
770,779,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.0266
771,775,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98185
771,776,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97401
775,776,MS1 annotation,3,[M+K]+ [M+H]+ dm/z=37.95586
785,786,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97377
825,830,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.9739
826,828,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97382
828,841,MS1 annotation,2,[M+H]+ [M-H+2Na]+ dm/z=43.96491
835,845,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98201
835,868,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97384
835,845,MS1 annotation,3,[M+Na]+ [M-H+2Na]+ dm/z=21.98201
835,844,MS1 annotation,3,[M+K]+ [M-H+2Na]+ dm/z=6.00801
841,857,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97505
844,845,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.974
844,868,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98185
845,868,MS1 annotation,3,[M+K]+ [M+H]+ dm/z=37.95585
849,851,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97443
849,910,MS1 annotation,2,[M+H]+ [M-H+2Na]+ dm/z=43.96388
872,879,MS1 annotation,2,[M+K]+ [M+Na]+ dm/z=15.97377
908,918,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98079
916,993,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97394
1064,1173,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97171
1104,1124,MS1 annotation,2,[2M+K]+ [M+Na]+ dm/z=358.1739
1375,1439,MS1 annotation,2,[2M+K]+ [M+Na]+ dm/z=358.1736
1433,1440,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98188
1433,1466,MS1 annotation,3,[M+K]+ [M+H]+ dm/z=37.95586
1440,1466,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97398
1478,1507,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.96737
1595,1780,MS1 annotation,3,[M+H]+ [M+H-H2O]+ dm/z=18.01049
1595,1719,MS1 annotation,3,[2M+Na]+ [M+H-H2O]+ dm/z=403.16988
1598,1705,MS1 annotation,2,[M+H-H2O]+ [2M+NH4]+ dm/z=310.17446
1694,1698,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02614
