"filename","mzmine_sample_type","run_date"
"4132_S2_2D_80MeOH.mzML","sample","2025-05-11T01:01:58"
"4133_3A_80MeOH_NdCl3_.mzML","sample","2025-05-10T07:54:38"
"4133_2A_80MeOH_NdCl3.mzML","sample","2025-05-10T07:37:32"
"4132_WT_S10_1D_80MeOH.mzML","sample","2025-05-11T04:47:44"
"4132_WT_S12_3D_80MeOH.mzML","sample","2025-05-11T05:22:40"
"4132_1A_80MeOH_NdCL3.mzML","sample","2025-05-10T05:20:30"
"4133_4A_80MeOH_NdCl3_.mzML","sample","2025-05-10T08:11:45"
"4132_3A_80MeOH_NdCL3.mzML","sample","2025-05-10T05:54:46"
"4132_4A_80MeOH_NdCL3.mzML","sample","2025-05-10T06:11:55"
"4132_S1_1D_80MeOH.mzML","sample","2025-05-11T00:44:50"
"4133_1A_80MeOH_NdCl3.mzML","sample","2025-05-10T07:20:24"
"4132_2A_80MeOH_NdCL3.mzML","sample","2025-05-10T05:37:38"
"4132_S3_3D_80MeOH.mzML","sample","2025-05-11T01:19:06"
"4132_WT_S11_2D_80MeOH.mzML","sample","2025-05-11T05:05:12"
"4133_WT_S13_1D_80MeOH.mzML","sample","2025-05-11T06:15:05"
"4134_3A_80MeOH_Nd2O3.mzML","sample","2025-05-10T11:54:22"
"4133_WT_S14_2D_80MeOH.mzML","sample","2025-05-11T06:32:34"
"4134_1A_80MeOH_NdCl3.mzML","sample","2025-05-10T08:46:01"
"4133_S5_2D_80MeOH.mzML","sample","2025-05-11T02:28:17"
"4133_S6_3D_80MeOH.mzML","sample","2025-05-11T02:45:46"
"4133_WT_S15_3D_80MeOH.mzML","sample","2025-05-11T06:50:02"
"4134_2A_80MeOH_Nd2O3.mzML","sample","2025-05-10T11:37:16"
"4134_4A_80MeOH_Nd2O3.mzML","sample","2025-05-10T12:11:28"
"4134_2A_80MeOH_NdCl3.mzML","sample","2025-05-10T09:03:07"
"4133_S4_1D_80MeOH.mzML","sample","2025-05-11T02:10:49"
"4134_3A_80MeOH_NdCl3.mzML","sample","2025-05-10T09:20:16"
"4134_4A_80MeOH_NdCl3.mzML","sample","2025-05-10T09:37:24"
"4134_1A_80MeOH_Nd2O3.mzML","sample","2025-05-10T11:20:10"
