featureIDs,X4132_1A_80MeOH_NdCL3.mzML,X4132_2A_80MeOH_NdCL3.mzML,X4132_3A_80MeOH_NdCL3.mzML,X4132_4A_80MeOH_NdCL3.mzML,X4133_1A_80MeOH_NdCl3.mzML,X4133_2A_80MeOH_NdCl3.mzML,X4133_3A_80MeOH_NdCl3_.mzML,X4133_4A_80MeOH_NdCl3_.mzML,logFC,pvalue,logpval,Sample_Type,,,
36,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
46,0.000270799,0.00109382,0.000246618,0.000241582,0.00043787,0.001502863,0.000337373,0.003365066,-1.60678437,0.274451966,0.561533654,Not Significant,,,
51,0.00011549,0.000457587,0.000104015,0.000100645,0.000179326,0.000624078,0.00013949,0.001387107,-1.582976294,0.277392144,0.556905843,Not Significant,,,
112,1.86407545655242e-06,1.44238015098994e-05,2.22212269157749e-06,2.34926325002475e-06,4.65654341632152e-06,2.26652323020825e-05,5.24889029822215e-06,5.2989957263124e-05,-2.036258813,0.251113272,0.600130333,Not Significant,,,
55,1.00023612744503e-05,4.06066452787193e-05,7.42395303433561e-06,6.57626400283248e-06,1.57319316152607e-05,5.62958427428878e-05,1.29671847447068e-05,0.000132083,-1.748401207,0.267110379,0.573309236,Not Significant,,,
71,3.0217745140028e-06,1.60523981399452e-05,2.38302350004113e-06,1.54565272122297e-06,5.35449015735959e-06,2.63843170586367e-05,5.29175502968694e-06,6.61953880954099e-05,-2.165921247,0.258516758,0.5875113,Not Significant,,,
52,2.85236542206796e-06,1.9769096889542e-05,2.09117291468113e-06,3.18334142793712e-07,4.95022359753104e-06,2.35564102782413e-05,4.08606306380893e-06,5.42115771362004e-05,-1.794051917,0.288754836,0.539470733,Not Significant,,,
68,2.96907887131299e-05,0.000122919,2.58942525905613e-05,2.83796507895356e-05,4.94153395593078e-05,0.000174186,3.91326500939391e-05,0.000396419,-1.671793427,0.270294575,0.568162671,Not Significant,,,
24,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.06003791426166e-06,2.35805769799878e-07,1.47747344192196e-05,-3.844308782,0.332538457,0.478158122,Not Significant,,,
40,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
32,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,7.00025971619407e-07,2.35805769799878e-07,2.72999596150247e-05,-4.560656925,0.384495667,0.41510855,Not Significant,,,
85,1.00522652593393e-05,4.84749436266322e-05,7.76614039353198e-06,7.23270055944692e-06,1.53936046148866e-05,6.80930567426772e-05,1.50218452243113e-05,0.000145788,-1.73230585,0.265390996,0.576113816,Not Significant,,,
70,0.000147535,0.000575757,0.000129822,0.000124877,0.000227502,0.000818578,0.000174093,0.001807517,-1.630324404,0.273511199,0.563024886,Not Significant,,,
79,1.11866752191985e-06,7.2019536566198e-06,2.40808917350663e-07,3.18334142793712e-07,2.6983021088247e-06,1.36023150315003e-05,1.12342884776449e-06,3.29206665251069e-05,-2.503246988,0.253424472,0.596151449,Not Significant,,,
44,2.91623741675233e-07,6.90852886410771e-06,2.40808917350663e-07,3.18334142793712e-07,3.77498837389838e-07,1.14608001989444e-05,2.35805769799878e-07,4.19284950699917e-05,-2.79903126,0.326156228,0.486574324,Not Significant,,,
69,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,1.05217443570435e-06,2.35805769799878e-07,1.70801051130021e-05,-3.9482763,0.369560379,0.432314596,Not Significant,,,
42,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,1.19407238703824e-06,2.35805769799878e-07,3.71595116379397e-06,-2.169647363,0.285451992,0.544466921,Not Significant,,,
50,2.91623741675233e-07,6.73404859764726e-06,2.40808917350663e-07,3.18334142793712e-07,6.38095563057463e-07,0.000273501,2.35805769799878e-07,0.000182199,-5.911590516,0.198547307,0.702136,Not Significant,,,
116,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.88645031604317e-06,2.35805769799878e-07,9.65484781743341e-06,-3.434520332,0.273409185,0.563186899,Not Significant,,,
